"County","Election District","Election Precinct","Cong","Legs","Candidate Name","Party","Office Name","Office District","Winner","Write-In?","Election Night Votes","Election Night Votes Against"
"03","001","001","03","46","Donald J. Trump","REP","President - Vice Pres","","","","114",""
"03","001","001","03","46","Hillary Clinton","DEM","President - Vice Pres","","Y","","394",""
"03","001","001","03","46","Gary Johnson","LIB","President - Vice Pres","","","","43",""
"03","001","001","03","46","Jill Stein","GRN","President - Vice Pres","","","","17",""
"03","001","001","03","46","Paij Boring","REP","President - Vice Pres","","","Y","0",""
"03","001","001","03","46","Joann Breivogel","REP","President - Vice Pres","","","Y","0",""
"03","001","001","03","46","Jacqueline Gates","REP","President - Vice Pres","","","Y","0",""
"03","001","001","03","46","Stephen McCarthy","REP","President - Vice Pres","","","Y","0",""
"03","001","001","03","46","Janet L. Reid","REP","President - Vice Pres","","","Y","0",""
"03","001","001","03","46","Paul Adams","DEM","President - Vice Pres","","","Y","0",""
"03","001","001","03","46","Cathy Johnson Pendleton","DEM","President - Vice Pres","","","Y","0",""
"03","001","001","03","46","Doug Terry","DEM","President - Vice Pres","","","Y","0",""
"03","001","001","03","46","Mary E. Thomas","DEM","President - Vice Pres","","","Y","0",""
"03","001","001","03","46","William E. Bowhall, Jr.","OTH","President - Vice Pres","","","Y","0",""
"03","001","001","03","46","Theodis Brown, Sr","OTH","President - Vice Pres","","","Y","0",""
"03","001","001","03","46","Darrell L. Castle","OTH","President - Vice Pres","","","Y","0",""
"03","001","001","03","46","Roque Rocky De La Fuente","OTH","President - Vice Pres","","","Y","0",""
"03","001","001","03","46","Richard Baxter Edgell","OTH","President - Vice Pres","","","Y","0",""
"03","001","001","03","46","James Hedges","OTH","President - Vice Pres","","","Y","0",""
"03","001","001","03","46","Tom Hoefling","OTH","President - Vice Pres","","","Y","0",""
"03","001","001","03","46","Lynn Kahn","OTH","President - Vice Pres","","","Y","0",""
"03","001","001","03","46","Mohammed Keita","OTH","President - Vice Pres","","","Y","0",""
"03","001","001","03","46","Gloria La Riva ","OTH","President - Vice Pres","","","Y","0",""
"03","001","001","03","46","Ken Lash","OTH","President - Vice Pres","","","Y","0",""
"03","001","001","03","46","David Librace","OTH","President - Vice Pres","","","Y","0",""
"03","001","001","03","46","Star Locke","OTH","President - Vice Pres","","","Y","0",""
"03","001","001","03","46","Michael A. Maturen","OTH","President - Vice Pres","","","Y","0",""
"03","001","001","03","46","Evan McMullin","OTH","President - Vice Pres","","","Y","6",""
"03","001","001","03","46","Kevin  M. Moreau","OTH","President - Vice Pres","","","Y","0",""
"03","001","001","03","46","Michael S Olkowski","OTH","President - Vice Pres","","","Y","0",""
"03","001","001","03","46","Marshall Schoenke","OTH","President - Vice Pres","","","Y","0",""
"03","001","001","03","46","Joe Schriner","OTH","President - Vice Pres","","","Y","0",""
"03","001","001","03","46","Coop Smith","OTH","President - Vice Pres","","","Y","0",""
"03","001","001","03","46","Michael L. Mike Smith","OTH","President - Vice Pres","","","Y","0",""
"03","001","001","03","46","Sistah Soldjah","OTH","President - Vice Pres","","","Y","0",""
"03","001","001","03","46","Emidio Soltysik","OTH","President - Vice Pres","","","Y","0",""
"03","001","001","03","46","J. J. Vogel-Walcutt","OTH","President - Vice Pres","","","Y","0",""
"03","001","001","03","46","Jerry White","OTH","President - Vice Pres","","","Y","0",""
"03","001","001","03","46","Mitchell Williams","OTH","President - Vice Pres","","","Y","0",""
"03","001","001","03","46","Demetra Jefferson Wysinger","OTH","President - Vice Pres","","","Y","0",""
